Feature,Domain,Why statistical methods keep it and ML top-12 does not
1.1:1Post dilation,Procedural,"Complement of No postdilation; strong 2x2, collinear pair, may not enter the LOCO pool of 40"
No postdilation,Procedural,Strong univariate OR; multivariable OR attenuates to ~1 after the complement is in the model
CKD90,Laboratory / renal,Binary renal cutpoint; ML prefers continuous eGFR/Cre rather than the threshold
CKD5,Laboratory / renal,"FDR hit but collinear with eGFR; adjusted OR flips sign. In ML union prefix, not in 3-way consensus"
3-vessel disease,Anatomy,Anatomy binary; collinear with NO.of vessels / multi-vessel CAD
Multi-vessel CAD,Anatomy,Overlaps Single-vessel and 3-vessel; shared anatomical information
Single-vessel disease,Anatomy,Protective complement of multi-vessel disease
NO.of vessels,Anatomy,Continuous vessel count; collinear with the vessel-disease binaries
No.of stents per lesion,Procedural,Tiny univariate effect (MW r=0.037); dropped from a 12-feature predictive shortlist
Total stent length,Procedural,Small univariate effect; collinear with stent count / vessel burden
HbA1c,Laboratory,FDR hit that attenuates after adjustment; Diabetes/Fast-Glu compete
Clopidogrel,Medication,Full-cohort medication association; weak on a 28-event hold-out ranking task
Diabetes,Comorbidity,Univariate FDR; multivariable CI includes 1; trees may split on labs instead
PES,Stent type,Stent-polymer binary; collinear with Stent type-SES
Stent type-SES,Stent type,Multi-level factor; one-hot encoding splits the signal across rare dummy columns
