model,algorithm,metric,rank,feature
lr,LOCO,pr_auc,1,Men
lr,LOCO,pr_auc,2,Stent type-SES_xiencev
lr,LOCO,pr_auc,3,Stent type-SES_other
lr,LOCO,pr_auc,4,Cre
lr,LOCO,pr_auc,5,LV
lr,LOCO,pr_auc,6,Initial diagnosis-AMI
lr,LOCO,pr_auc,7,TG
lr,LOCO,pr_auc,8,Clopidogrel
lr,LOCO,pr_auc,9,Fiberinogen
lr,LOCO,pr_auc,10,DAPT
lr,LOCO,pr_auc,11,Min-stent diameter
lr,LOCO,pr_auc,12,eGFR
lr,LOCO,pr_auc,13,STEMI
lr,LOCO,pr_auc,14,TCL
lr,LOCO,pr_auc,15,Total stent length
lr,LOCO,pr_auc,16,UA
lr,LOCO,pr_auc,17,History of peripheral vascualr disease
lr,LOCO,pr_auc,18,Current smoker
lr,LOCO,pr_auc,19,Ticagrelor
lr,LOCO,pr_auc,20,Chronic total occlusion
lr,LOCO,pr_auc,21,Aspirin
lr,LOCO,pr_auc,22,Max-stent diameter
lr,LOCO,pr_auc,23,P-LM
lr,LOCO,pr_auc,24,Stent type-SES_partner
lr,LOCO,pr_auc,25,LVEF
lr,LOCO,pr_auc,26,Previous PCI
lr,LOCO,pr_auc,27,Thrombus aspiration
lr,LOCO,pr_auc,28,EVS
lr,LOCO,pr_auc,29,Diabetes
lr,LOCO,pr_auc,30,NSTEMI
lr,LOCO,pr_auc,31,Visual thrombus
lr,LOCO,pr_auc,32,No.of stents per lesion
lr,LOCO,pr_auc,33,Current drinking
lr,LOCO,pr_auc,34,Vessel dialation
lr,LOCO,pr_auc,35,History of HF
lr,LOCO,pr_auc,36,PES
lr,LOCO,pr_auc,37,Stent type-SES_resolute
lr,LOCO,pr_auc,38,P-LCX
lr,LOCO,pr_auc,39,Stent type-SES_firebird
lr,LOCO,pr_auc,40,stent overlap
lr,LOCO,pr_auc,41,ZES
lr,LOCO,pr_auc,42,TIMI-0
lr,LOCO,pr_auc,43,LDL
lr,LOCO,pr_auc,44,HL
lr,LOCO,pr_auc,45,TIMI-2
lr,LOCO,pr_auc,46,Pre-TIMI flow-3
lr,LOCO,pr_auc,47,CKD90
lr,LOCO,pr_auc,48,Stent type-SES_xv
lr,LOCO,pr_auc,49,1.1:1Post dilation
lr,LOCO,pr_auc,50,No postdilation
lr,LOCO,pr_auc,51,Stent type-SES_xx
lr,LOCO,pr_auc,52,P-RCA
lr,LOCO,pr_auc,53,CKD5
lr,LOCO,pr_auc,54,CKD60
lr,LOCO,pr_auc,55,Moderate/severe tortuosity
lr,LOCO,pr_auc,56,Stent type-SES_tivoli
lr,LOCO,pr_auc,57,Chronic renal insufficiency
lr,LOCO,pr_auc,58,Proximal
lr,LOCO,pr_auc,59,Previous CABG
lr,LOCO,pr_auc,60,HGB
rf,LOCO,pr_auc,1,eGFR
rf,LOCO,pr_auc,2,HGB
rf,LOCO,pr_auc,3,Cre
rf,LOCO,pr_auc,4,Stent type-SES_xiencev
rf,LOCO,pr_auc,5,Clopidogrel
rf,LOCO,pr_auc,6,TG
rf,LOCO,pr_auc,7,LVEF
rf,LOCO,pr_auc,8,STEMI
rf,LOCO,pr_auc,9,1.1:1Post dilation
rf,LOCO,pr_auc,10,Current smoker
rf,LOCO,pr_auc,11,LV
rf,LOCO,pr_auc,12,Hypertension
rf,LOCO,pr_auc,13,Platelet
rf,LOCO,pr_auc,14,Fast-Glu
rf,LOCO,pr_auc,15,NSTEMI
rf,LOCO,pr_auc,16,Staged PCI
rf,LOCO,pr_auc,17,Men
rf,LOCO,pr_auc,18,CKD90
rf,LOCO,pr_auc,19,NO.of vessels
rf,LOCO,pr_auc,20,LDL
rf,LOCO,pr_auc,21,Max-stent diameter
rf,LOCO,pr_auc,22,Multi-vessel CAD
rf,LOCO,pr_auc,23,HbA1c
rf,LOCO,pr_auc,24,Stent type-SES_resolute
rf,LOCO,pr_auc,25,Total stent length
rf,LOCO,pr_auc,26,CaI
rf,LOCO,pr_auc,27,Stent type-SES_firebird
rf,LOCO,pr_auc,28,PES
rf,LOCO,pr_auc,29,Min-stent diameter
rf,LOCO,pr_auc,30,HL
rf,LOCO,pr_auc,31,Diabetes
rf,LOCO,pr_auc,32,TCL
rf,LOCO,pr_auc,33,2-vessel disease
rf,LOCO,pr_auc,34,Aspirin
rf,LOCO,pr_auc,35,UA
rf,LOCO,pr_auc,36,Stent type-SES_tivoli
rf,LOCO,pr_auc,37,No.of stents per lesion
rf,LOCO,pr_auc,38,Single-vessel disease
rf,LOCO,pr_auc,39,P-LCX
rf,LOCO,pr_auc,40,P-LAD
rf,LOCO,pr_auc,41,Previous PCI
rf,LOCO,pr_auc,42,Pre-TIMI flow-3
rf,LOCO,pr_auc,43,P-RCA
rf,LOCO,pr_auc,44,Initial diagnosis-AMI
rf,LOCO,pr_auc,45,TIMI-0
rf,LOCO,pr_auc,46,3-vessel disease
rf,LOCO,pr_auc,47,TIMI-2
rf,LOCO,pr_auc,48,Bifurcation
rf,LOCO,pr_auc,49,CKD5
rf,LOCO,pr_auc,50,Proximal
rf,LOCO,pr_auc,51,DAPT
rf,LOCO,pr_auc,52,HDL
rf,LOCO,pr_auc,53,ZES
rf,LOCO,pr_auc,54,EVS
rf,LOCO,pr_auc,55,No postdilation
rf,LOCO,pr_auc,56,Fiberinogen
rf,LOCO,pr_auc,57,Age
rf,LOCO,pr_auc,58,Stent type-SES_partner
rf,LOCO,pr_auc,59,Stent release pressure
rf,LOCO,pr_auc,60,stent overlap
rf_b,LOCO,pr_auc,1,eGFR
rf_b,LOCO,pr_auc,2,Platelet
rf_b,LOCO,pr_auc,3,Fast-Glu
rf_b,LOCO,pr_auc,4,ZES
rf_b,LOCO,pr_auc,5,Cre
rf_b,LOCO,pr_auc,6,CaI
rf_b,LOCO,pr_auc,7,Clopidogrel
rf_b,LOCO,pr_auc,8,HbA1c
